ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-6cce32,A-659280,6/12/2024,6/12/2024 6:00,6,medium,176,4,FALSE
T-ec46f5,A-f5641b,4/19/2023,4/21/2023 7:00,55,high,93,,FALSE
T-219077,A-fb186e,2/9/2024,2/10/2024 18:00,42,medium,58,,FALSE
T-6b6fb7,A-716841,2/11/2024,2/11/2024 4:00,4,medium,119,3,FALSE
T-2e5ba4,A-0be015,12/5/2024,12/5/2024 14:00,14,low,46,4,TRUE
T-8001a4,A-c9bb3e,5/8/2023,5/8/2023 11:00,11,urgent,53,4,TRUE
T-a1d9dd,A-fd7ad3,4/27/2024,4/29/2024 16:00,64,urgent,21,3,FALSE
T-121d6f,A-d5a319,9/17/2024,9/17/2024 17:00,17,low,132,4,TRUE
T-fd1ba2,A-d27f50,12/15/2023,12/16/2023 16:00,40,high,158,4,FALSE
T-b6d7ac,A-a0ca4e,10/29/2023,10/29/2023 11:00,11,low,12,5,TRUE
T-f2b9a5,A-f6b2fb,1/19/2024,1/20/2024 12:00,36,medium,138,5,TRUE
T-61fc87,A-034368,1/13/2023,1/15/2023 17:00,65,medium,127,3,FALSE
T-00fa83,A-9208f0,4/1/2023,4/3/2023 22:00,70,low,6,,FALSE
T-358dd5,A-ced9aa,8/20/2023,8/22/2023 9:00,57,medium,131,,FALSE
T-54e843,A-bb3bd4,10/6/2024,10/6/2024 8:00,8,medium,63,3,FALSE
T-50ad36,A-922109,5/7/2023,5/8/2023 2:00,26,medium,126,,FALSE
T-06bf16,A-4a4c2d,8/2/2023,8/3/2023 6:00,30,medium,44,4,FALSE
T-f155f0,A-b179bf,8/6/2023,8/6/2023 6:00,6,high,156,,FALSE
T-777753,A-ce66f8,1/23/2023,1/25/2023 21:00,69,low,74,,FALSE
T-857a8d,A-bb3bd4,1/8/2024,1/10/2024 18:00,66,medium,52,,FALSE
T-384dcb,A-bc4d48,11/18/2024,11/20/2024 23:00,71,urgent,6,5,TRUE
T-970c6c,A-439b2f,12/12/2024,12/12/2024 20:00,20,urgent,123,,FALSE
T-50c7f8,A-a1bbb6,1/18/2024,1/19/2024 12:00,36,urgent,47,,FALSE
T-a528f4,A-b78bf8,4/15/2023,4/16/2023 0:00,24,urgent,7,3,FALSE
T-7b7a5a,A-1e50e0,10/2/2024,10/2/2024 19:00,19,high,170,5,TRUE
T-c9a73c,A-b9f5b1,10/24/2024,10/24/2024 18:00,18,urgent,86,4,FALSE
T-486b6b,A-883b7d,1/28/2023,1/28/2023 22:00,22,urgent,102,5,FALSE
T-19cc99,A-c16b88,4/28/2023,4/30/2023 5:00,53,high,134,,FALSE
T-35fc90,A-e98302,10/23/2023,10/25/2023 19:00,67,low,121,,FALSE
T-d4142b,A-700ade,5/25/2023,5/27/2023 18:00,66,urgent,69,4,FALSE
T-6ba215,A-56962b,3/24/2023,3/26/2023 18:00,66,low,73,3,FALSE
T-e5c785,A-b54c01,3/7/2023,3/8/2023 2:00,26,medium,41,3,FALSE
T-4f0d98,A-e40f45,3/31/2023,3/31/2023 10:00,10,urgent,19,,FALSE
T-e97da3,A-45ce7a,4/4/2024,4/5/2024 1:00,25,low,81,,FALSE
T-990a0e,A-fa3095,11/6/2024,11/8/2024 0:00,48,high,28,,FALSE
T-ce1dee,A-d792a6,10/10/2024,10/11/2024 8:00,32,low,126,,FALSE
T-b7b797,A-bbc346,3/11/2024,3/12/2024 11:00,35,medium,24,,FALSE
T-847498,A-7cfe77,7/17/2023,7/19/2023 11:00,59,high,36,,FALSE
T-2ef49b,A-cc1d8d,9/15/2023,9/16/2023 21:00,45,medium,33,5,FALSE
T-fb6fa3,A-0a62f5,11/26/2024,11/26/2024 8:00,8,urgent,57,,FALSE
T-a3f900,A-ae052e,7/22/2023,7/23/2023 5:00,29,medium,126,3,FALSE
T-b9e7df,A-526d93,5/10/2023,5/10/2023 5:00,5,medium,158,,FALSE
T-0e6db2,A-ccc747,6/27/2024,6/29/2024 12:00,60,urgent,169,5,FALSE
T-4c2f4b,A-726cfa,12/2/2023,12/3/2023 13:00,37,high,150,,FALSE
T-e7dc15,A-39868b,3/26/2024,3/26/2024 22:00,22,medium,137,,FALSE
T-9876fb,A-2e3bad,1/18/2024,1/18/2024 14:00,14,high,92,,FALSE
T-2c6679,A-0be015,7/16/2024,7/18/2024 3:00,51,medium,73,5,FALSE
T-03303d,A-87aa7b,11/29/2023,12/1/2023 11:00,59,high,7,,TRUE
T-1ed4c4,A-c62e55,3/21/2024,3/21/2024 15:00,15,urgent,129,5,FALSE
T-7c6ab3,A-65a46c,12/23/2024,12/25/2024 9:00,57,urgent,96,5,FALSE
T-67bfcf,A-3932db,9/1/2023,9/2/2023 12:00,36,urgent,144,3,FALSE
T-088eb6,A-ac14bb,3/28/2024,3/28/2024 21:00,21,high,23,,FALSE
T-b4bec0,A-117171,8/5/2023,8/6/2023 9:00,33,urgent,137,,FALSE
T-03d219,A-ae052e,1/2/2024,1/4/2024 5:00,53,urgent,6,,FALSE
T-7c2d38,A-ad3abd,11/3/2024,11/3/2024 1:00,1,high,35,,FALSE
T-1112c6,A-de24d5,9/22/2023,9/25/2023 0:00,72,urgent,24,3,FALSE
T-938c6d,A-a8d89d,8/19/2023,8/21/2023 12:00,60,low,132,,FALSE
T-d2e273,A-9f9299,10/5/2024,10/5/2024 5:00,5,high,94,,FALSE
T-bdc72c,A-34d880,11/19/2024,11/21/2024 14:00,62,medium,106,3,FALSE
T-7d4777,A-66224b,11/20/2024,11/21/2024 16:00,40,medium,4,3,FALSE
T-03624c,A-7c6b6b,1/29/2024,1/31/2024 10:00,58,low,68,3,FALSE
T-3fab11,A-463db0,3/12/2023,3/14/2023 7:00,55,high,123,5,FALSE
T-37f2cf,A-faa28c,5/29/2024,5/30/2024 17:00,41,urgent,127,5,TRUE
T-826f63,A-f9cc74,7/23/2023,7/26/2023 0:00,72,low,169,,FALSE
T-f7ec04,A-ad296b,10/18/2023,10/18/2023 16:00,16,urgent,74,3,TRUE
T-856d24,A-dbc825,5/5/2023,5/7/2023 5:00,53,high,166,,FALSE
T-cbfd6b,A-8b0451,3/15/2023,3/16/2023 1:00,25,medium,137,4,FALSE
T-66636b,A-37f969,7/25/2023,7/27/2023 22:00,70,medium,116,4,FALSE
T-be44ea,A-bc4d48,9/17/2024,9/19/2024 1:00,49,medium,19,5,FALSE
T-fcd539,A-7da956,7/12/2024,7/12/2024 21:00,21,urgent,97,,FALSE
T-433a53,A-297a2d,2/28/2023,2/28/2023 10:00,10,high,160,3,FALSE
T-5fb9f7,A-0f7d77,1/6/2023,1/6/2023 19:00,19,medium,88,,FALSE
T-ced995,A-76fa4d,6/24/2024,6/25/2024 19:00,43,urgent,92,,FALSE
T-9398db,A-bbe56f,6/28/2024,6/30/2024 0:00,48,low,107,5,FALSE
T-58a90d,A-cb6cc6,11/25/2024,11/26/2024 2:00,26,high,170,3,FALSE
T-8833a5,A-a1b80b,12/2/2023,12/3/2023 10:00,34,medium,150,4,FALSE
T-ef7c6e,A-f446b6,5/14/2024,5/14/2024 1:00,1,high,47,5,FALSE
T-b8ed8f,A-22f2df,1/18/2023,1/18/2023 11:00,11,high,99,,FALSE
T-97fa24,A-f51f16,6/16/2023,6/16/2023 9:00,9,medium,73,3,FALSE
T-290bd4,A-ccc747,6/2/2023,6/2/2023 3:00,3,medium,18,,FALSE
T-c45238,A-3f9cc0,11/3/2024,11/5/2024 12:00,60,medium,139,,FALSE
T-a8de52,A-5b4ebb,11/7/2024,11/7/2024 17:00,17,medium,128,5,FALSE
T-73259c,A-54ecc2,5/9/2023,5/9/2023 20:00,20,medium,59,,FALSE
T-eace7b,A-9c18c4,2/12/2023,2/13/2023 8:00,32,low,156,,FALSE
T-9cb671,A-ce550d,6/11/2023,6/13/2023 7:00,55,high,73,,FALSE
T-ae23c2,A-7e0a10,3/9/2023,3/10/2023 15:00,39,urgent,127,5,FALSE
T-1cbbd0,A-c1dfe1,1/28/2024,1/29/2024 9:00,33,urgent,38,4,FALSE
T-78b6e2,A-55f257,9/11/2023,9/12/2023 7:00,31,high,45,5,FALSE
T-a941f1,A-a09355,10/20/2023,10/20/2023 8:00,8,low,129,5,FALSE
T-667845,A-82861f,9/17/2024,9/17/2024 11:00,11,urgent,77,3,FALSE
T-546223,A-ccabf0,1/4/2023,1/6/2023 13:00,61,high,46,4,FALSE
T-6a2899,A-4437e4,9/12/2023,9/14/2023 3:00,51,medium,136,,TRUE
T-ceb781,A-712533,7/17/2023,7/17/2023 9:00,9,low,108,3,FALSE
T-365342,A-39868b,4/4/2023,4/5/2023 5:00,29,low,146,5,FALSE
T-e9e7a7,A-3be56b,6/17/2023,6/17/2023 22:00,22,low,107,3,FALSE
T-4be927,A-96bbc6,11/4/2023,11/6/2023 14:00,62,low,31,3,FALSE
T-5b7600,A-bd4513,8/28/2023,8/29/2023 21:00,45,medium,127,5,FALSE
T-d0e9c2,A-0f6450,2/27/2024,2/28/2024 12:00,36,medium,112,,FALSE
T-62d8ce,A-50f3f7,9/1/2024,9/2/2024 2:00,26,low,165,5,FALSE
T-2a24d4,A-8145a0,8/19/2023,8/19/2023 17:00,17,urgent,87,3,FALSE
T-a3d1d0,A-c58f49,8/24/2023,8/25/2023 20:00,44,urgent,54,,FALSE
T-ade86f,A-e3bd71,1/25/2024,1/25/2024 16:00,16,low,96,,FALSE
T-b8e4c5,A-ef84cf,11/3/2023,11/4/2023 10:00,34,low,98,,FALSE
T-ffeda5,A-560d27,11/12/2023,11/13/2023 16:00,40,medium,90,,FALSE
T-e938bb,A-832ec2,7/24/2024,7/26/2024 6:00,54,medium,171,4,FALSE
T-85af66,A-1f7acb,1/12/2024,1/12/2024 13:00,13,medium,165,,FALSE
T-e13c08,A-de58ca,12/28/2023,12/28/2023 6:00,6,low,23,,FALSE
T-f365f1,A-9779ad,10/14/2024,10/15/2024 19:00,43,medium,161,5,FALSE
T-dd45ee,A-8ed5dd,12/9/2024,12/9/2024 8:00,8,high,97,3,FALSE
T-59d842,A-158f4e,8/5/2024,8/7/2024 19:00,67,medium,168,4,FALSE
T-4a12e6,A-d42431,8/7/2024,8/8/2024 23:00,47,urgent,108,5,FALSE
T-3bfb51,A-425e76,5/7/2024,5/7/2024 23:00,23,high,60,,FALSE
T-d3391b,A-cb5333,11/25/2023,11/27/2023 17:00,65,low,165,,FALSE
T-ae6671,A-798a3f,7/16/2023,7/18/2023 10:00,58,urgent,112,,FALSE
T-300e16,A-22d9d2,10/15/2024,10/15/2024 4:00,4,urgent,131,3,TRUE
T-167962,A-e3bd71,11/9/2023,11/10/2023 8:00,32,high,143,3,FALSE
T-1760ba,A-0b0d6d,8/3/2023,8/4/2023 12:00,36,medium,1,3,FALSE
T-a231f8,A-76fa4d,4/19/2023,4/19/2023 22:00,22,high,177,4,FALSE
T-706693,A-b54c01,12/31/2023,1/1/2024 14:00,38,medium,19,3,FALSE
T-fe8af7,A-90a8c8,10/13/2023,10/14/2023 0:00,24,low,33,3,FALSE
T-a427d8,A-4ef964,3/24/2023,3/24/2023 5:00,5,high,61,3,FALSE
T-30b4eb,A-104f1a,12/30/2024,12/30/2024 12:00,12,medium,37,,FALSE
T-abb562,A-700ade,9/8/2023,9/8/2023 12:00,12,low,6,5,FALSE
T-a819c9,A-139c3b,7/11/2023,7/13/2023 14:00,62,urgent,38,,FALSE
T-36d4a7,A-902ef7,7/7/2024,7/8/2024 13:00,37,urgent,130,,FALSE
T-5c2f82,A-1f559b,12/13/2023,12/15/2023 20:00,68,urgent,143,4,FALSE
T-701980,A-ced9aa,9/15/2023,9/15/2023 20:00,20,low,125,3,FALSE
T-5f6c15,A-e43bf7,12/25/2024,12/25/2024 5:00,5,medium,26,3,FALSE
T-07593c,A-310452,11/24/2023,11/24/2023 11:00,11,medium,145,3,FALSE
T-6807e7,A-a33200,8/23/2023,8/23/2023 16:00,16,low,118,4,FALSE
T-027d8f,A-508199,3/23/2024,3/24/2024 20:00,44,urgent,27,,FALSE
T-3798d5,A-5ed98d,3/28/2024,3/28/2024 12:00,12,medium,56,,FALSE
T-763f2d,A-118f1c,6/22/2023,6/24/2023 16:00,64,medium,141,3,FALSE
T-196fca,A-6843f2,4/27/2024,4/29/2024 13:00,61,high,22,3,FALSE
T-b2adad,A-54ecc2,10/29/2024,10/31/2024 9:00,57,medium,20,5,FALSE
T-37b69f,A-bb1eaa,5/21/2024,5/21/2024 1:00,1,urgent,114,4,FALSE
T-f873ff,A-9123ac,4/21/2023,4/22/2023 16:00,40,low,73,4,FALSE
T-2a2ecd,A-533452,10/26/2023,10/27/2023 23:00,47,medium,30,,FALSE
T-b29471,A-44dc83,6/11/2023,6/12/2023 16:00,40,high,53,4,FALSE
T-c32093,A-313be3,1/27/2023,1/27/2023 8:00,8,urgent,41,,FALSE
T-f0f18c,A-ed510f,3/31/2023,4/2/2023 16:00,64,high,137,,FALSE
T-4c7b15,A-443f6f,1/22/2023,1/24/2023 2:00,50,low,126,5,FALSE
T-ca36f7,A-812c5b,2/28/2023,3/1/2023 14:00,38,high,108,4,FALSE
T-a1bab0,A-45ce7a,4/25/2023,4/27/2023 2:00,50,medium,141,4,FALSE
T-5daa6c,A-f44180,4/28/2024,4/29/2024 8:00,32,low,157,5,FALSE
T-ea0979,A-855a48,6/30/2024,7/1/2024 14:00,38,urgent,177,,FALSE
T-308071,A-f51f16,4/16/2023,4/17/2023 11:00,35,high,10,3,FALSE
T-ed091b,A-09316c,8/12/2023,8/14/2023 10:00,58,medium,129,4,FALSE
T-fd14d8,A-751c58,6/21/2023,6/23/2023 1:00,49,medium,178,,FALSE
T-3a3a53,A-139c3b,12/18/2024,12/19/2024 2:00,26,medium,89,5,FALSE
T-35ae60,A-7641d3,12/17/2023,12/19/2023 22:00,70,medium,174,,FALSE
T-93f5f0,A-3c1a3f,8/4/2023,8/4/2023 5:00,5,low,20,,FALSE
T-0a835d,A-0aaf6e,11/6/2023,11/8/2023 8:00,56,low,14,,FALSE
T-a79931,A-b179bf,8/23/2023,8/25/2023 5:00,53,low,94,4,FALSE
T-54b348,A-50f3f7,5/31/2023,6/2/2023 7:00,55,low,41,,FALSE
T-ee77ae,A-8ed5dd,5/17/2024,5/19/2024 3:00,51,low,87,,FALSE
T-fb798a,A-8bde0c,11/7/2024,11/7/2024 9:00,9,medium,64,,FALSE
T-b0b086,A-bb3bd4,2/18/2023,2/19/2023 11:00,35,medium,65,5,FALSE
T-6de710,A-7da956,2/4/2024,2/5/2024 18:00,42,low,55,,FALSE
T-d319e4,A-eb7c38,3/4/2024,3/5/2024 1:00,25,low,46,,FALSE
T-041287,A-34ea2f,7/15/2024,7/17/2024 22:00,70,urgent,19,4,FALSE
T-496c6b,A-1e1b80,8/23/2024,8/25/2024 21:00,69,low,150,3,FALSE
T-d92e2e,A-712426,7/18/2024,7/20/2024 19:00,67,high,67,4,FALSE
T-6f8270,A-dbc825,11/11/2023,11/14/2023 0:00,72,high,118,3,FALSE
T-2a21f8,A-1f7acb,5/30/2024,5/30/2024 8:00,8,medium,92,4,FALSE
T-08e86b,A-9f9299,10/5/2023,10/5/2023 3:00,3,urgent,160,,FALSE
T-bdbc42,A-31ab9a,9/9/2024,9/11/2024 14:00,62,urgent,90,4,FALSE
T-996921,A-751bd4,11/13/2024,11/14/2024 17:00,41,urgent,124,5,FALSE
T-c722ef,A-ced9aa,9/17/2023,9/17/2023 18:00,18,low,69,,FALSE
T-100066,A-7f6b86,1/11/2023,1/13/2023 0:00,48,high,166,,FALSE
T-51307e,A-b78bf8,9/15/2023,9/16/2023 16:00,40,low,93,5,FALSE
T-e545b2,A-dfbd31,1/9/2024,1/10/2024 21:00,45,low,158,5,FALSE
T-5a402d,A-e7beab,4/25/2023,4/27/2023 15:00,63,low,138,3,FALSE
T-287b04,A-92a333,5/7/2023,5/8/2023 1:00,25,low,11,,FALSE
T-2c61f3,A-4bfa33,6/29/2024,6/29/2024 16:00,16,high,180,3,FALSE
T-c2b413,A-90a8c8,3/31/2024,4/2/2024 22:00,70,urgent,13,3,FALSE
T-a7489c,A-7e0a10,1/24/2024,1/26/2024 20:00,68,high,72,,FALSE
T-011d5c,A-a09355,5/13/2023,5/15/2023 15:00,63,urgent,34,3,FALSE
T-af4249,A-dec005,10/2/2023,10/4/2023 18:00,66,low,180,3,FALSE
T-2904e8,A-692f18,11/11/2024,11/11/2024 20:00,20,low,144,,FALSE
T-a9333e,A-5ed98d,9/6/2024,9/9/2024 0:00,72,medium,77,,FALSE
T-4d5bca,A-970c97,1/29/2023,1/31/2023 13:00,61,urgent,139,5,FALSE
T-f0d824,A-b9f5b1,12/1/2023,12/2/2023 4:00,28,urgent,165,3,FALSE
T-05b5f6,A-cc1d8d,3/5/2024,3/6/2024 16:00,40,high,137,,FALSE
T-246510,A-bb3bd4,9/29/2024,9/30/2024 17:00,41,high,160,5,FALSE
T-e7f66c,A-241e75,4/25/2023,4/27/2023 4:00,52,low,136,,FALSE
T-dcb2e1,A-34d880,10/10/2023,10/12/2023 13:00,61,medium,78,3,FALSE
T-0e3932,A-118d55,12/9/2024,12/9/2024 11:00,11,medium,32,4,FALSE
T-52fd00,A-0532a9,1/29/2023,1/29/2023 7:00,7,medium,49,,FALSE
T-d5e01b,A-de24d5,12/29/2023,12/29/2023 1:00,1,high,177,,FALSE
T-5a765e,A-3cc791,2/27/2024,2/29/2024 23:00,71,high,38,5,FALSE
T-1bc086,A-00cac8,9/15/2023,9/15/2023 1:00,1,urgent,92,,FALSE
T-30ab22,A-65aeb5,9/1/2023,9/3/2023 5:00,53,high,146,5,FALSE
T-a1ebca,A-712426,12/10/2024,12/11/2024 8:00,32,medium,43,4,FALSE
T-d9e588,A-bbe56f,8/1/2024,8/1/2024 7:00,7,low,117,3,FALSE
T-765765,A-4437e4,8/13/2023,8/14/2023 20:00,44,high,120,,FALSE
T-848076,A-c42f1f,10/31/2023,10/31/2023 8:00,8,low,105,3,FALSE
T-00644f,A-8adedc,5/22/2023,5/24/2023 18:00,66,medium,62,,FALSE
T-ec469a,A-e4bf56,7/10/2023,7/12/2023 4:00,52,urgent,72,5,FALSE
T-d1c41b,A-98a59a,3/22/2023,3/23/2023 0:00,24,high,68,,FALSE
T-090534,A-cc8c8f,11/30/2023,11/30/2023 7:00,7,urgent,143,4,FALSE
T-367cc3,A-b7b7b7,8/31/2024,8/31/2024 1:00,1,medium,159,5,FALSE
T-f86b35,A-139c3b,9/13/2024,9/13/2024 11:00,11,urgent,108,,FALSE
T-e23a37,A-855a48,5/11/2023,5/11/2023 13:00,13,high,55,,FALSE
T-776916,A-0a282f,6/12/2023,6/14/2023 17:00,65,medium,12,5,FALSE
T-0854f6,A-310452,1/31/2024,2/2/2024 19:00,67,urgent,178,3,FALSE
T-2c34c5,A-034368,8/29/2023,8/31/2023 17:00,65,low,34,5,FALSE
T-270c25,A-81edc3,12/19/2023,12/21/2023 21:00,69,high,56,,FALSE
T-f3e69b,A-b7ef83,10/3/2024,10/5/2024 19:00,67,medium,70,,FALSE
T-2987d9,A-50f3f7,4/17/2023,4/18/2023 6:00,30,urgent,155,5,TRUE
T-da63ee,A-149a69,1/30/2023,1/31/2023 9:00,33,high,79,5,FALSE
T-44b600,A-eafc6e,7/14/2023,7/16/2023 16:00,64,medium,136,,FALSE
T-4d0d5b,A-5a215a,12/6/2024,12/6/2024 12:00,12,urgent,126,4,FALSE
T-7cca37,A-dbc825,10/2/2024,10/3/2024 16:00,40,medium,128,5,TRUE
T-122749,A-4e960a,1/14/2024,1/15/2024 19:00,43,low,77,,FALSE
T-27d61d,A-c7e58b,1/25/2024,1/25/2024 13:00,13,medium,171,4,FALSE
T-86e757,A-82d8a6,10/29/2023,10/31/2023 3:00,51,high,129,,FALSE
T-13e2c4,A-92a3af,3/17/2024,3/19/2024 23:00,71,medium,29,5,FALSE
T-df9759,A-b7724f,12/30/2024,12/30/2024 15:00,15,medium,86,3,FALSE
T-c556c6,A-7c5768,11/21/2024,11/23/2024 2:00,50,high,39,4,FALSE
T-e57828,A-883b7d,4/16/2023,4/17/2023 19:00,43,high,52,,FALSE
T-fc25d0,A-fd7ad3,8/17/2024,8/19/2024 13:00,61,high,138,,FALSE
T-743f15,A-d49cc5,12/21/2024,12/23/2024 16:00,64,urgent,2,,FALSE
T-9bbea1,A-b54c01,2/6/2023,2/8/2023 4:00,52,low,172,,FALSE
T-9bf64e,A-3ce5b8,10/7/2023,10/8/2023 5:00,29,high,87,,FALSE
T-7cefd9,A-7920cc,3/31/2023,4/2/2023 15:00,63,medium,146,5,FALSE
T-9717fc,A-cea1f0,5/11/2024,5/13/2024 9:00,57,medium,145,,FALSE
T-b43464,A-08e34e,7/15/2024,7/17/2024 20:00,68,high,67,3,FALSE
T-29abed,A-cd458b,3/28/2024,3/30/2024 2:00,50,urgent,39,5,FALSE
T-4e24d4,A-b3fe05,5/29/2023,5/31/2023 18:00,66,urgent,75,,FALSE
T-990f20,A-6a7c9d,8/15/2024,8/16/2024 4:00,28,medium,42,3,FALSE
T-618d10,A-afa505,9/25/2024,9/25/2024 19:00,19,urgent,130,,FALSE
T-9736d7,A-d4e0d4,8/12/2023,8/12/2023 19:00,19,medium,66,,FALSE
T-7a48cd,A-4c38bc,7/27/2024,7/29/2024 18:00,66,medium,37,4,FALSE
T-8f1182,A-fa3095,5/25/2023,5/27/2023 2:00,50,high,98,,FALSE
T-926ee8,A-5a92e7,6/17/2023,6/19/2023 20:00,68,high,9,5,FALSE
T-21c5ae,A-9123ac,11/18/2024,11/19/2024 13:00,37,urgent,77,4,FALSE
T-7d1efb,A-eb2fdc,12/18/2023,12/19/2023 22:00,46,medium,16,,FALSE
T-bad86e,A-7c6b6b,9/10/2024,9/12/2024 20:00,68,high,144,,FALSE
T-818ae1,A-6965e1,7/27/2024,7/29/2024 9:00,57,low,55,,FALSE
T-e1cf37,A-4c38bc,4/13/2023,4/15/2023 20:00,68,high,72,3,FALSE
T-104009,A-fd7ad3,8/21/2023,8/23/2023 7:00,55,high,82,,FALSE
T-2b7d40,A-474ad4,4/23/2023,4/25/2023 0:00,48,medium,65,,TRUE
T-b4f3d9,A-378b99,8/3/2023,8/3/2023 5:00,5,low,101,5,FALSE
T-d6ab6c,A-66224b,12/5/2023,12/5/2023 6:00,6,urgent,58,3,FALSE
T-62b1dd,A-a45270,12/27/2024,12/29/2024 19:00,67,medium,112,4,FALSE
T-cd4a87,A-798a3f,4/8/2023,4/9/2023 21:00,45,urgent,38,3,FALSE
T-3aa54d,A-db5e9e,6/25/2024,6/27/2024 16:00,64,low,177,5,FALSE
T-640bda,A-96bbc6,1/7/2023,1/8/2023 4:00,28,medium,112,3,FALSE
T-8e435c,A-e1b9cd,6/16/2023,6/17/2023 11:00,35,high,115,3,FALSE
T-32b901,A-67be94,11/14/2024,11/16/2024 1:00,49,high,1,,FALSE
T-867910,A-3793ee,6/14/2024,6/16/2024 22:00,70,high,11,4,FALSE
T-316da7,A-1ac5e0,1/15/2024,1/16/2024 11:00,35,high,44,4,FALSE
T-3517a8,A-702032,7/28/2023,7/30/2023 4:00,52,medium,43,,FALSE
T-86c6c6,A-8adedc,8/5/2023,8/7/2023 11:00,59,high,22,4,FALSE
T-565965,A-3b5cd1,1/11/2023,1/12/2023 17:00,41,urgent,42,4,FALSE
T-096b66,A-313be3,6/27/2023,6/27/2023 6:00,6,urgent,69,,FALSE
T-d90ef7,A-e2cd1b,8/17/2023,8/19/2023 19:00,67,medium,101,4,FALSE
T-495585,A-acb7f7,1/27/2024,1/27/2024 23:00,23,medium,31,3,FALSE
T-502019,A-4e631b,9/23/2024,9/23/2024 20:00,20,low,18,4,FALSE
T-b6d93a,A-50bb9f,2/24/2023,2/25/2023 10:00,34,low,35,,FALSE
